path
The path
row  col
13   64
12   64
12   63
12   62
11   62
10   62
 9   62
 8   62
 7   62
 6   62
 5   62
 4   62
 4   63
 4   64
 5   64
 6   65
 6   66
 6   67
 5   68
 4   68
 4   67
 4   66
 3   66
 2   66
 2   67
 2   68
 2   69
 2   70
 3   70
 4   70
 5   70
 6   71
 6   72
 7   72
 8   73
 8   74
 9   74
10   75
10   76
11   76
12   76
13   76
14   76
14   75
14   74
13   74
12   74
12   73
12   72
11   72
10   72
10   71
10   70
 9   70
 8   70
 8   69
 8   68
 8   67
 9   66
10   66
11   66
12   67
11   68
12   69
12   70
13   70
14   70
15   70
16   70
17   70
18   70
19   70
20   70
21   70
22   70
23   70
24   70
25   70
26   71
25   72
24   72
23   72
22   72
21   72
20   72
19   72
18   72
17   72
16   72
15   72
16   73
16   74
17   74
18   74
19   74
20   75
19   76
18   76
18   77
17   78
16   78
16   79
16   80
16   81
16   82
17   82
18   82
19   82
20   83
19   84
20   84
21   84
22   84
23   84
24   84
25   84
26   84
26   83
27   82
28   82
28   81
28   80
28   79
28   78
28   77
28   76
27   76
26   76
26   75
27   74
28   74
28   73
29   72
30   72
31   72
32   72
33   72
34   72
35   72
36   72
36   71
37   70
38   71
38   72
38   73
38   74
38   75
38   76
38   77
38   78
39   78
40   78
41   78
42   79
42   80
43   80
44   81
43   82
42   82
41   82
40   82
40   83
39   84
40   84
41   84
42   84
43   84
44   84
45   84
46   84
47   84
48   84
49   84
50   84
51   84
52   84
52   83
52   82
52   81
53   80
54   81
54   82
55   82
56   82
57   82
58   82
59   82
60   82
61   82
62   83
61   84
62   84
63   84
64   84
64   83
65   82
66   82
67   82
68   83
67   84
68   84
69   84
70   84
71   84
72   84
72   83
72   82
72   81
72   80
72   79
72   78
71   78
70   78
70   77
71   76
72   76
72   75
73   74
74   74
75   74
76   75
75   76
74   76
74   77
74   78
74   79
74   80
75   80
76   80
77   80
78   81
78   82
79   82
80   82
81   82
82   82
82   81
82   80
82   79
82   78
82   77
82   76
81   76
80   76
79   76
78   76
78   75
79   74
80   74
80   73
81   72
82   73
82   74
83   74
84   75
84   76
85   76
86   77
85   78
84   78
84   79
84   80
85   80
86   81
85   82
84   82
84   83
83   84
84   84
85   84
86   84
87   85
■111111111111111111111111111111111111111111111111111111111111111111111111111111111111
1■■■■■100■■■100■■■1■■■1000001010000000001010000000000000001000000■■■■■101000000000101
11101■111■1■111■1■1■1■1011101010111011101010111010111111101011111■111■101011101110101
100010■■■010■■■010■01■100010001010101000001010001010001000101■■■1■■■1■100000100010101
101111111111111111111■111011111010101111111010111110101111101■1■111■1■111011111010101
1000100010001000000000■■1000000010100000100010000000101000001■10■■■010■■1010000010001
11101110101010111111111■1111111010111110101111111111101011111■111111111■1110111111101
100010001010001000001000■■■■■■1000100010001010000010001010001■1010■■■■10■■10000000101
10111011101111101110111111111■1110111011111010111010101011101■101■111■111■11101110111
10001000001010001010001010■■■■1010100000001000001010101000101■100■101■■■10■■100010001
1010111011101011101110101■11111010101111101011111010111110101■111■1■111■111■111011101
10100010000010000000101010■■■■1010101000101000100010100010001■■■10■0■■1■■■1■100010101
10111011111111101111101011111■101010111010111010111010101011111■11111■111■1■101110101
10101010000000001000001000101■10100010001010101010001010101■■■1■10■■1■101■■■100000101
10101010111111111011111010101■10111110101010101010101010101■1■1■1■1■1■1■1111111111101
10001010100000100010000010101■10100000101010001010101010101■1■1■■■1■1■1■■■100■■■■■101
11111010101110101110111110101■10101110111010111010111010101■1■111■1■1■1■1■111■111■101
10001000101010001000101000101■10001010000010001010001010001■10■■101■1■1■1■1■■0101■101
10101111101011111011101011101■11101011111111101011101011111■111■111■1■1■1■1■11101■1■1
101000000010100000100000100010■■100000001000001000100010001■■■10■■1■1■1■10■0100010■■1
1011111111101010111011111110111■11111110111011101111111011111■111■1■1■1■11111011111■1
10100000001000101000001000000010■■■■1010001010100000000010001■1000■01■1■10000000001■1
10101111101011101111101011111011111■1011101010111111101110101■1111111■1■11111110101■1
10100000101000100000101000001000001■1000001000100000100000101■10■■■■1■1■10000000101■1
10111110101110111110101111101011111■1011111111101110111111101■1■111■1■1■10111110111■1
10000010100010100010100010001010■■■■1010000000001010000010001■■■1■■010■010■■100010■■1
1011111011101010101011101011111■1111101011111111101111101011111■1■1111111■1■11111■111
10000000101010001010100010000010■■1000001000000010000000101■■■101■■■■■10■■1■■■■■■■101
111111111011111110101011111110111■1111111010111110111111101■1■111■111■1■1111111111101
1010000000001000101010000000100010■■10001010000010000000001■10■■101■■01■1000000000001
10101110111010101010111111101010111■10111011111010111111111■111■111■111■1011111111111
1010001010100010101010100010101010■■100000001010001■■■■■■■1■■■10■■1■101■1010000000001
101011101011111011101010101011101■11111111101011111■11111■111■111■1■101■1010111111101
1000100010001010100010101010001010■■■■■■10100000101■10■■10■■■010■■1■101■1010100010001
111110111010101010111010101110101111111■10111110101■1■1■1111111■111■101■1010111010101
100000100010001000100010100000100000001■10100010001■■■1■■■10■■■■1■■010■■1000000010101
101111101011111111111010111111111111101■1010101011111■111■1■11111■111■111111111010111
101000001000000000001010100000000000001■100010001■■■101■■010■■100■1010■■■■■■■■1010001
101011111111101111101010101111101110111■101111111■1■101■11111■111■10111111111■10111■1
10100000100010000010001010000010001010■■10001■■■■01■101■10■■■■1■■010001000001■101■■■1
1011111010101111101111101111111110101■1111111■11111■101■1■11111■1110111010101■111■1■1
1010001000100010100000100000100000101■100■■■1■■■10■■101■10■■■■1■10000000101010■■1■1■1
1010101111111010111110111110101011111■111■1■111■1■11111■11111■1■111111111011111■1■1■1
1000101000001010000010000010001010■■■■1■■010■■1■10■■1■■010001■1■10■■■■■■10000010■01■1
101110101011101011111111101111101■11111■11111■1■111■1■1110111■1■1■11111■11101011111■1
1010001010100010100000001000001010■■■■■0100010■0101■1■1010001■1■■■■0001■10001000101■1
101011101010111010111110101110101111111110111111101■1■1010101■111111111■10111110101■1
101010101010100010101000101000101000100000000000001■1■1000101■1■■■■■■■■010100010001■1
101010101010101010101011101010101110101111111011111■1■1011101■1■1111111110111011101■1
101010101000101010100010001010100010000000101000001■1■1010001■1■1000100000001000001■1
111010101111111010111010111011111011111110101111101■1■1110101■1■1010101111101111111■1
100010101000000010001010001010001000100010000010001■1■■■10101■1■1010100000100010■■■■1
101110101011111011101011111010101110101010111110101■111■10101■1■101011101111101■11111
1010001000101000100010100010101000000010101000001010■■■010101■1■1010000010000010■■101
101011111110101110111010101010111111111011101111101111111■111■1■11111111101110111■101
101000001000100010001000100010100010000000001000100010■■■■■■1■1■■■100010001000101■101
10101011101011101110111111111010101111111111101011101■11111■1■1■1■101010111011101■101
101010000010001010100000000010101000100010001010000010■■■■1■■■101■101000101010001■101
101111111011101010111111111010101110101010101111111111111■1111101■101111101010101■101
10001000101010000000000000100010101000100010000010■■■■10■■1000001■101000000010101■101
1010101010101111111111101111111010111111111011101■111■1■111111111■101111111011101■1■1
10100010100010001000001010000010000000100010001010■■1■■■1■■■■■■■1■1000000010001010■■1
101111101111101011111010101110111011111010101110111■11111■11111■1■10111110111010111■1
10000010000000100010001010101010001000001010100010■■10000■10001■1■1010000010101010■■1
1111101111111111101011101010101011101111101110101■1110111■10101■1■111011111010101■111
1000101000000000101000101010100000100000100000101■10001■■010101■1■■■1010000010101■101
1010101011111110101110101010111111111010111111101■11111■1110111■111■1011111010101■1■1
10100010100000101000100010001000000010101000001010■■■■1■■■1010■■1■■010000010000010■■1
10111110101110101110101110111011111011101111101011111■111■101■111■11111110111110111■1
10001000100010100010101000100010001000101000100000001■1■■0101■1■■010■■100010■■10001■1
11101011111010111110111011101110111110101010111111101■1■111■1■1■111■1■10111■1■11111■1
101000100000100000100000001010001000001010100010000010■010■■■■1■■■■■1■1010■■1■■■■■■■1
101110101111111110111011111010111011111010111010111111111■11111■11111■101■11111111111
1000001000100000000010100000100010100010001010100010■■001■1000001■■■■0101■1■■■■■10001
101111111010111111101110111110101010101011101011101■1■111■1111111■1111101■1■111■10111
101010000010101000101000100000101000101000001010001■1■■■10■■■■1■■010000010■0101■10001
101010111110101010101011101111101111101111111011101■111■11111■1■111011101111101■11101
100010100010101010100010001000100000000000001000101■1■■00010■■1■1010001010■■0010■■101
111010101010101010111110111010111111111111101110111■1■11111■111■101010111■1■10111■101
10101010100000101010000000101000001000001000000010■■1■■■■■■■100■10001010■■1■10001■101
1010101111111110101111101110111110101110111111101■1111111111111■1011101■111■11111■101
1000100000000010101000101000100000101000100000101■100■■■■■1■■■1■10001010■■1■■■■■■■101
1011111111111010101010111011101011101010101110101■111■111■1■1■1■111010111■111111111■1
1010000000101010100010001000101010001010101010101■1■■0101■1■10■01010100010■■1■■■1■■■1
1010111110101010111111101110101110111011101010111■1■11101■1■111110101110111■1■1■1■1■1
10001000000010000000001000001000000010000000100000■0100000■01000000000100000■010■01■1
111111111111111111111111111111111111111111111111111111111111111111111111111111111111■
